Exemplo;Alternativo;Bar;Sex/Sab;fome;Cliente;Preço;Chuva;Res;Tipo;Tempo;conc
X1;Sim;Não;Não;Sim;Alguns;RRR;Não;Sim;Francês;0-10;Sim
x2;Sim;Não;Não;Sim;Cheio;R;Não;Não;Tailandês;30-60;Não
x3;Não;Sim;Não;Não;Alguns;R;Não;Não;Hamburger;0-10;Sim
x4;Sim;Não;Sim;Sim;Cheio;R;Sim;Não;Tailandês;out/30;Sim
X5;Sim;Não;Sim;Não;Cheio;RRR;Não;Sim;Francês;>60;Não
X6;Não;Sim;Não;Sim;Alguns;RR;Sim;Sim;Italiano;0-10;Sim
X7;Não;Sim;Não;Não;Nenhum;R;Sim;Não;Hamburger;0-10;Não
X8;Não;Não;Não;Sim;Alguns;RR;Sim;Sim;Tailandês;0-10;Sim
X9;Não;Sim;Sim;Não;Cheio;R;Sim;Não;Hamburger;>60;Não
X10;Sim;Sim;Sim;Sim;Cheio;RRR;Não;Sim;Italiano;out/30;Não
X11;Não;Não;Não;Não;Nenhum;R;Não;Não;Tailandês;0-10;Não
X12;Sim;Sim;Sim;Sim;Cheio;R;Não;Não;Hamburger;30-60;Sim
